Test Id,Method Id,Method Role,Method Modifiers,Methods Header,Fully Qualified Name,Start Line,End Line
CL-000080,CL-000084,contextual,N/A,"boolean parse(FastDateParser parser, Calendar calendar, String source, ParsePosition pos, int maxWidth)",org.apache.commons.lang3.time.FastDateParser$Strategy.parse(Lorg/apache/commons/lang3/time/FastDateParser;Ljava/util/Calendar;Ljava/lang/String;Ljava/text/ParsePosition;I)Z,507,507
CL-000117,CL-000119,contextual,public abstract,String lookup(String key),org.apache.commons.lang3.text.StrLookup.lookup(Ljava/lang/String;)Ljava/lang/String;,118,118
CL-000158,CL-000144,focal,public static,boolean isValidAnnotationMemberType(Class<?> type),org.apache.commons.lang3.AnnotationUtils.isValidAnnotationMemberType(Ljava/lang/Class;)Z,222,231
CL-000038,CL-000039,focal,public static,"int toInt(String str, int defaultValue)",org.apache.commons.lang3.math.NumberUtils.toInt(Ljava/lang/String;I)I,121,130
CL-000159,CL-000160,focal,public static,boolean isSupported(String name),org.apache.commons.lang3.CharEncoding.isSupported(Ljava/lang/String;)Z,92,101
CL-000156,CL-000157,focal,public static,"String substring(String str, int start)",org.apache.commons.lang3.StringUtils.substring(Ljava/lang/String;I)Ljava/lang/String;,2482,2500
CL-000033,CL-000037,contextual,public,int intValue(),org.apache.commons.lang3.mutable.MutableInt.intValue()I,287,290
CL-000154,CL-000155,focal,public static,int hexDigitToInt(char hexDigit),org.apache.commons.lang3.Conversion.hexDigitToInt(C)I,97,103
CL-000198,CL-000206,helper,N/A,void tearDown(),org.apache.commons.lang3.builder.JsonToStringStyleTest.tearDown()V,44,47
CL-000074,CL-000079,contextual,public static,String toString(Type type),org.apache.commons.lang3.reflect.TypeUtils.toString(Ljava/lang/reflect/Type;)Ljava/lang/String;,1661,1679
CL-000151,CL-000153,contextual,public static transient,<T extends Object> T firstNonNull(T[] values),org.apache.commons.lang3.ObjectUtils.firstNonNull([Ljava/lang/Object;)Ljava/lang/Object;,120,129
CL-000091,CL-000094,contextual,public,int getDenominator(),org.apache.commons.lang3.math.Fraction.getDenominator()I,370,372
CL-000207,CL-000057,contextual,N/A,"boolean parse(String source, ParsePosition pos, Calendar calendar)",org.apache.commons.lang3.time.FastDateParser.parse(Ljava/lang/String;Ljava/text/ParsePosition;Ljava/util/Calendar;)Z,418,429
CL-000127,CL-000129,contextual,public static,"<L extends Object, R extends Object> MutablePair<L, R> of(L left, R right)",org.apache.commons.lang3.tuple.MutablePair.of(Ljava/lang/Object;Ljava/lang/Object;)Lorg/apache/commons/lang3/tuple/MutablePair;,51,53
CL-000048,CL-000054,helper,N/A,int getPeriodEnds(),org.apache.commons.lang3.concurrent.TimedSemaphoreTest$TimedSemaphoreTestImpl.getPeriodEnds()I,452,456
CL-000125,CL-000017,contextual,public static,"float nextFloat(float startInclusive, float endInclusive)",org.apache.commons.lang3.RandomUtils.nextFloat(FF)F,205,215
CL-000167,CL-000197,helper,N/A,void tearDown(),org.apache.commons.lang3.text.StrSubstitutorTest.tearDown()V,50,53
CL-000000,CL-000013,contextual,public static,"double min(double a, double b)",org.apache.commons.lang3.math.IEEE754rUtils.min(DD)D,104,113
CL-000045,CL-000047,contextual,public synchronized,void shutdown(),org.apache.commons.lang3.concurrent.TimedSemaphore.shutdown()V,264,278
CL-000043,CL-000044,focal,public,FieldUtils(),org.apache.commons.lang3.reflect.FieldUtils.<init>()V,46,48
CL-000120,CL-000124,helper,N/A,DatePrinter getInstance(String format),org.apache.commons.lang3.time.FastDatePrinterTest.getInstance(Ljava/lang/String;)Lorg/apache/commons/lang3/time/DatePrinter;,52,54
