Test Id,Method Id,Method Role,Method Modifiers,Methods Header,Fully Qualified Name,Start Line,End Line
GS-000092,GS-000098,helper,N/A,void setUp(),com.google.gson.functional.JsonTreeTest.setUp()V,23,27
GS-000052,GS-000053,focal,public,JsonReader(Reader in),com.google.gson.stream.JsonReader.<init>(Ljava/io/Reader;)V,289,294
GS-000129,GS-000018,helper,N/A,void setUp(),com.google.gson.FieldAttributesTest.setUp()V,36,40
GS-000009,GS-000015,contextual,public,JsonElement get(String memberName),com.google.gson.JsonObject.get(Ljava/lang/String;)Lcom/google/gson/JsonElement;,160,162
GS-000000,GS-000005,contextual,public,String getAsString(),com.google.gson.JsonElement.getAsString()Ljava/lang/String;,190,192
GS-000088,GS-000091,helper,N/A,void setUp(),com.google.gson.functional.MapTest.setUp()V,57,61
GS-000121,GS-000120,helper,N/A,void setUp(),com.google.gson.GenericArrayTypeTest.setUp()V,37,41
GS-000122,GS-000097,contextual,public,"Set<Entry<String, JsonElement>> entrySet()",com.google.gson.JsonObject.entrySet()Ljava/util/Set;,131,133
GS-000046,GS-000012,contextual,public,"V put(K key, V value)",com.google.gson.internal.LinkedTreeMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,90,98
GS-000125,GS-000097,contextual,public,"Set<Entry<String, JsonElement>> entrySet()",com.google.gson.JsonObject.entrySet()Ljava/util/Set;,131,133
GS-000049,GS-000051,contextual,public,JsonWriter beginObject(),com.google.gson.stream.JsonWriter.beginObject()Lcom/google/gson/stream/JsonWriter;,306,309
GS-000126,GS-000014,contextual,public,boolean has(String memberName),com.google.gson.JsonObject.has(Ljava/lang/String;)Z,150,152
GS-000006,GS-000008,contextual,private,"void addTypeAdaptersForDate(String datePattern, int dateStyle, int timeStyle, List<TypeAdapterFactory> factories)",com.google.gson.GsonBuilder.addTypeAdaptersForDate(Ljava/lang/String;IILjava/util/List;)V,575,589
GS-000127,GS-000090,contextual,public final,Type getType(),com.google.gson.reflect.TypeToken.getType()Ljava/lang/reflect/Type;,100,102
GS-000061,GS-000066,contextual,public,boolean htmlSafe(),com.google.gson.Gson.htmlSafe()Z,270,272
GS-000019,GS-000020,focal,N/A,"void assertEqualsAndHashCode(Object a, Object b)",com.google.gson.common.MoreAsserts.assertEqualsAndHashCode(Ljava/lang/Object;Ljava/lang/Object;)V,65,71
GS-000054,GS-000058,helper,N/A,void setUp(),com.google.gson.JsonStreamParserTest.setUp()V,30,34
GS-000099,GS-000100,focal,public,int hashCode(),com.google.gson.internal.LazilyParsedNumber.hashCode()I,80,83
GS-000059,GS-000018,helper,N/A,void setUp(),com.google.gson.FieldAttributesTest.setUp()V,36,40
GS-000016,GS-000018,helper,N/A,void setUp(),com.google.gson.FieldAttributesTest.setUp()V,36,40
GS-000075,GS-000078,contextual,public static,<T extends Object> TypeToken<T> get(Class<T> type),com.google.gson.reflect.TypeToken.get(Ljava/lang/Class;)Lcom/google/gson/reflect/TypeToken;,302,304
GS-000106,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000107,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000108,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000109,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000021,GS-000032,helper,N/A,JsonReader create(String data),com.google.gson.stream.JsonReaderPathTest$Factory.create(Ljava/lang/String;)Lcom/google/gson/stream/JsonReader;,254,254
GS-000067,GS-000018,helper,N/A,void setUp(),com.google.gson.FieldAttributesTest.setUp()V,36,40
GS-000101,GS-000102,focal,public,boolean equals(Object obj),com.google.gson.internal.LazilyParsedNumber.equals(Ljava/lang/Object;)Z,85,95
GS-000069,GS-000007,contextual,public,Gson create(),com.google.gson.GsonBuilder.create()Lcom/google/gson/Gson;,562,573
GS-000103,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000104,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000105,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000080,GS-000036,contextual,public,"String toJson(Object src, Type typeOfSrc)",com.google.gson.Gson.toJson(Ljava/lang/Object;Ljava/lang/reflect/Type;)Ljava/lang/String;,601,605
GS-000081,GS-000082,contextual,public static,<T extends Object> Class<T> wrap(Class<T> type),com.google.gson.internal.Primitives.wrap(Ljava/lang/Class;)Ljava/lang/Class;,95,101
GS-000083,GS-000084,helper,N/A,void setUp(),com.google.gson.functional.CircularReferenceTest.setUp()V,41,45
GS-000085,GS-000087,helper,N/A,void setUp(),com.google.gson.functional.ExposeFieldsTest.setUp()V,37,44
GS-000042,GS-000045,contextual,public,JsonWriter beginArray(),com.google.gson.internal.bind.JsonTreeWriter.beginArray()Lcom/google/gson/stream/JsonWriter;,94,99
GS-000117,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000118,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000119,GS-000120,helper,N/A,void setUp(),com.google.gson.GenericArrayTypeTest.setUp()V,37,41
GS-000033,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000110,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
GS-000111,GS-000037,helper,N/A,void setUp(),com.google.gson.functional.StringTest.setUp()V,16,20
